Monster Spoilers for 変愚蛮怒 3.0.0Alpha6
------------------------------------------

[1]: 汚いイタズラ小僧 (レベル0, 't')
      -(5000)-> [605]: 熾天使 (レベル38, 'A')
        -(8000)-> [661]: アルコン (レベル41, 'A')
          -(50000)-> [942]: プラネター (レベル50, 'A')
            -(100000)-> [943]: ソーラー (レベル64, 'A')

[427]: 首なし (レベル27, 'H')
  -(6000)-> [653]: 巨大首なし (レベル41, 'H')

[432]: バンパイア (レベル27, 'V')
  -(2000)-> [520]: マスター・バンパイア (レベル34, 'V')
    -(5000)-> [623]: バンパイア・ロード (レベル39, 'V')
      -(20000)-> [1058]: エルダー・バンパイア (レベル54, 'V')

[442]: 黒騎士 (レベル28, 'p')
  -(1800)-> [497]: 反逆パラディン (レベル33, 'p')
    -(5000)-> [597]: 死の騎士 (レベル38, 'p')
      -(15000)-> [731]: 地獄の騎士 (レベル52, 'p')

[453]: バジリスク (レベル28, 'R')
  -(10000)-> [668]: 大バジリスク (レベル42, 'R')
    -(100000)-> [1243]: 巨大バジリスク (レベル50, 'R')

[462]: ヤング・ブロンズ・ドラゴン (レベル29, 'd')
  -(4000)-> [562]: ブロンズ・ドラゴン (レベル36, 'd')
    -(10000)-> [602]: 古代ブロンズ・ドラゴン (レベル38, 'D')

[455]: ドール (レベル29, 'w')
  -(4000)-> [619]: クトーニアン (レベル39, 'w')

[1011]: 銀のエンゼル (レベル30, 'A')
  -(10000)-> [1010]: 金のエンゼル (レベル50, 'A')

[465]: スケルトン・トロル (レベル30, 's')
  -(1500)-> [500]: ジャイアント・スケルトン・トロル (レベル33, 's')

[466]: 骸骨ティラノサウルス (レベル30, 'R')
  -(40000)-> [705]: 幽体ティラノサウルス (レベル46, 'R')

[470]: 墓ワイト (レベル30, 'W')
  -(1500)-> [499]: 塚ワイト (レベル33, 'W')
    -(4000)-> [604]: ノーブル・ワイト (レベル38, 'W')
      -(4000)-> [1183]: エンペラー・ワイト (レベル43, 'W')

[444]: サイクロプス (レベル30, 'P')
  -(2000)-> [490]: バイクロプス (レベル36, 'P')
    -(4500)-> [1186]: トリクロプス (レベル42, 'P')

[471]: シャドウ・ドレイク (レベル30, 'd')
  -(15000)-> [643]: デス・ドレイク (レベル41, 'D')
    -(30000)-> [874]: グレート・インフェルノ・ドレイク (レベル54, 'D')
      -(400000)-> [1200]: 幽体ワイアーム (レベル77, 'D')

[482]: 巨大イカ (レベル32, 'l')
  -(50000)-> [740]: レッサー・クラーケン (レベル54, 'l')
    -(100000)-> [775]: グレーター・クラーケン (レベル63, 'l')

[509]: 水トロル (レベル33, 'T')
  -(2000)-> [538]: オログ (レベル35, 'T')
    -(4000)-> [620]: エルドラク (レベル39, 'T')
      -(3000)-> [621]: エティン (レベル39, 'T')
        -(5000)-> [894]: トロルの王 (レベル40, 'T')
          -(18000)-> [875]: ストームトロル (レベル51, 'T')

[498]: ログルス使い (レベル33, 'p')
  -(150000)-> [737]: 混沌の王族 (レベル60, 'p')

[915]: 初級修験者 (レベル33, 'p')
  -(5000)-> [916]: 中級修験者 (レベル38, 'p')
    -(10000)-> [917]: 上級修験者 (レベル50, 'p')
      -(40000)-> [1177]: 修験道師範代 (レベル59, 'p')
        -(60000)-> [1178]: 修験道免許皆伝者 (レベル64, 'p')

[492]: 白衣の修行僧 (レベル33, 'p')
  -(2000)-> [1173]: 白衣の高位修行僧 (レベル38, 'p')

[503]: バランス・ドレイク (レベル33, 'd')
  -(180000)-> [785]: バランス・ワイアーム (レベル72, 'D')

[501]: カオス・ドレイク (レベル33, 'd')
  -(150000)-> [783]: カオス・ワイアーム (レベル67, 'D')

[502]: ロー・ドレイク (レベル33, 'd')
  -(150000)-> [784]: ロー・ワイアーム (レベル67, 'D')

[1097]: ヤング・クイックシルバー・ドラゴン (レベル33, 'd')
  -(5500)-> [1098]: クイックシルバー・ドラゴン (レベル39, 'd')
    -(23000)-> [1099]: 古代クイックシルバー・ドラゴン (レベル49, 'D')

[527]: ドゥーム・ドレイク (レベル34, 'd')
  -(3000)-> [589]: レッド・ドラゴン (レベル34, 'd')
    -(10000)-> [644]: 古代レッド・ドラゴン (レベル40, 'D')
      -(100000)-> [756]: デイドラ・レッド・ドラゴン (レベル48, 'D')
        -(360000)-> [1192]: ヘル・ワイアーム (レベル55, 'D')
          -(340000)-> [1193]: グレート・ヘル・ワイアーム (レベル66, 'D')

[518]: リッチ (レベル34, 'L')
  -(4000)-> [577]: 窖の怪物 (レベル37, 'L')
    -(10000)-> [658]: マスターリッチ (レベル41, 'L')
      -(30000)-> [742]: デミリッチ (レベル61, 'L')
        -(80000)-> [776]: アーチリッチ (レベル64, 'L')

[529]: 陰気なレプラコーン (レベル35, 'h')
  -(500)-> [700]: 突撃狂信レプラコーン (レベル46, 'h')

[1047]: 黄衣の修行僧 (レベル35, 'p')
  -(2200)-> [1175]: 黒衣の高位修行僧 (レベル41, 'p')

[550]: ゾーン (レベル36, 'X')
  -(4000)-> [639]: ザレン (レベル40, 'X')

[1008]: 悪魔崇拝者 (レベル36, 'p')
  -(2250)-> [1179]: 悪魔崇拝司祭 (レベル41, 'p')

[568]: メッツォデーモン (レベル36, 'u')
  -(50000)-> [719]: ニカデーモン (レベル50, 'U')
    -(100000)-> [812]: ワープ・デーモン (レベル76, 'U')

[1279]: 紅衣の修行僧 (レベル36, 'p')
  -(2500)-> [1280]: 紅衣の高位修行僧 (レベル41, 'p')

[559]: ヤング・ゴールド・ドラゴン (レベル36, 'd')
  -(6000)-> [590]: ゴールド・ドラゴン (レベル37, 'd')
    -(12000)-> [645]: 古代ゴールド・ドラゴン (レベル41, 'D')
      -(30000)-> [1202]: グレート・ロア・ドレイク (レベル54, 'D')

[870]: 黒衣の修行僧 (レベル36, 'p')
  -(2500)-> [1175]: 黒衣の高位修行僧 (レベル41, 'p')

[1224]: ファルメル・グルームルーカー (レベル36, 'h')
  -(10000)-> [1229]: グレーター・ファルメル・グルームルーカー (レベル41, 'h')

[591]: クリスタル・ドレイク (レベル37, 'd')
  -(11000)-> [646]: 古代クリスタル・ドラゴン (レベル41, 'D')
    -(30000)-> [1201]: グレート・クリスタル・ドレイク (レベル54, 'D')

[941]: 骸骨ドラゴン (レベル37, 'D')
  -(30000)-> [701]: ドラコリッチ (レベル46, 'D')
    -(200000)-> [1241]: グレート・ドラコリッチ (レベル52, 'D')

[609]: 地獄の男爵 (レベル38, 'U')
  -(20000)-> [1244]: 地獄の公爵 (レベル43, 'U')

[611]: リッチの修行僧 (レベル39, 'L')
  -(5000)-> [1176]: リッチの上級修行僧 (レベル44, 'L')

[641]: ミノタウロス (レベル40, 'H')
  -(12000)-> [723]: マウロタウロス (レベル50, 'H')

[667]: ドリード (レベル42, 'G')
  -(6000)-> [690]: ドリードマスター (レベル44, 'G')
    -(30000)-> [774]: シャドウ・ロード (レベル62, 'G')

[666]: ストーン・リッチ (レベル42, 'L')
  -(20000)-> [1180]: ブロンズ・リッチ (レベル47, 'L')
    -(35000)-> [1181]: アイアン・リッチ (レベル52, 'L')

[673]: ムーマク (レベル43, 'q')
  -(50000)-> [716]: ベヒーモス (レベル64, 'H')

[940]: レッサー・バルログ (レベル44, 'U')
  -(30000)-> [720]: グレーター・バルログ (レベル50, 'U')

[1048]: 石ドラゴン (レベル45, 'D')
  -(40000)-> [1049]: 鋼鉄ドラゴン (レベル55, 'D')

[694]: 灰色の掠奪者 (レベル45, 'L')
  -(100000)-> [798]: 黒き掠奪者 (レベル71, 'L')

[1225]: ファルメル・ナイトプロウラー (レベル46, 'h')
  -(35000)-> [1230]: グレーター・ファルメル・ナイトプロウラー (レベル51, 'h')

[634]: レッサー・タイタン (レベル46, 'P')
  -(25000)-> [702]: ミッド・タイタン (レベル49, 'P')
    -(100000)-> [1187]: グレーター・タイタン (レベル52, 'P')

[703]: ドラコリスク (レベル46, 'D')
  -(200000)-> [1242]: グレート・ドラコリスク (レベル52, 'D')

[704]: ファスティトカロン (レベル51, 'D')
  -(200000)-> [782]: リヴァイアサン (レベル76, 'D')

[1226]: ファルメル・シャドウマスター (レベル52, 'h')
  -(140000)-> [1231]: グレーター・ファルメル・シャドウマスター (レベル59, 'h')

[748]: 手のドルジ (レベル55, 's')
  -(20000)-> [749]: 目のドルジ (レベル55, 's')
    -(50000)-> [750]: 頭蓋のドルジ (レベル65, 's')

[793]: スカイ・ドレイク (レベル74, 'D')
  -(600000)-> [847]: パワー・ワイアーム (レベル90, 'D')

